"时间","非耕地经风蚀进入大气的磷量","海洋飞沫进入大气的磷量","农业种植经风蚀进入大气的磷量","N2大气沉降","N3大气沉降","N4大气沉降","N7大气沉降"
"1790","310045.1499","4333.083333","21202.99007","239876.20386399998","3494","57280.25000000001","16629.796136"
"1791","310045.1499","4333.083333","21253.57362","239836.53049599996","3494","57280.25000000001","16669.469504"
"1792","310045.1499","4333.083333","21304.6586","239796.463842","3494","57280.25000000001","16709.536158000003"
"1793","310045.1499","4333.083333","21356.17316","239756.060262","3494","57280.25000000001","16749.939738"
"1794","310045.1499","4333.083333","21408.04545","239715.376118","3494","57280.25000000001","16790.623882000004"
"1795","310045.1499","4333.083333","21460.2036","239674.46776799997","3494","57280.25000000001","16831.532232"
"1796","310045.1499","4333.083333","21512.57574","239633.391572","3494","57280.25000000001","16872.608428000003"
"1797","310045.1499","4333.083333","21565.09004","239592.20389200002","3494","57280.25000000001","16913.796108"
"1798","310045.1499","4333.083333","21617.67462","239550.96108600002","3494","57280.25000000001","16955.038914"
"1799","310045.1499","4333.083333","21670.25762","239509.71951399994","3494","57280.25000000001","16996.280486"
"1800","310045.1499","4333.083333","21722.76719","239468.53553800003","3494","57280.25000000001","17037.464462"
"1801","310045.1499","4333.083333","21775.13147","239427.465516","3494","57280.25000000001","17078.534484"
"1802","310045.1499","4333.083333","21827.27859","239386.56581","3494","57280.25000000001","17119.434190000004"
"1803","310045.1499","4333.083333","21879.13671","239345.892778","3494","57280.25000000001","17160.107222"
"1804","310045.1499","4333.083333","21930.63395","239305.50278","3494","57280.25000000001","17200.497219999997"
"1805","310045.1499","4333.083333","21981.69847","239265.452178","3494","57280.25000000001","17240.547822"
"1806","310045.1499","4333.083333","22032.26165","239225.794782","3494","57280.25000000001","17280.205218"
"1807","310045.1499","4333.083333","22082.26789","239186.574202","3494","57280.25000000001","17319.425798"
"1808","310045.1499","4333.083333","22131.66483","239147.831504","3494","57280.25000000001","17358.168496000002"
"1809","310045.1499","4333.083333","22180.40012","239109.60775","3494","57280.25000000001","17396.39225"
"1810","310045.1499","4333.083333","22228.4214","239071.944002","3494","57280.25000000001","17434.055998"
