"时间","出口消费品","进入废水处理系统废水磷量","进入内陆水体废水磷量","固废磷量","饲料用于水产养殖磷量 ","饲料用于畜禽养殖磷磷量 平衡N8","磷副产品还田量","居民消费食物磷含量","非食品消费磷量"
"1771","0.029702156954400004","0","0.0494473686909","-0.04915539048402","0","0","0.0677027094","1.390369800573959","0"
"1772","0.0304571864184","0","0.05070417274789999","-0.050412194541019986","0","0","0.0677027094","1.4151229479270402","0"
"1773","0.031231039996800002","0","0.051992310981720004","-0.05170033277484","0","0","0.0677027094","1.4404932317818302","0"
"1774","0.032024082048","0","0.053312389885080004","-0.0530204116782","0","0","0.0677027094","1.4664925967966331","0"
"1775","0.032868860052","0","0.054718587249280005","-0.0544266090424","0","0","0.0677027094","1.49418809188291","0"
"1776","0.0333257397144","0","0.055479098250000004","-0.05518712004312","0","0","0.0677027094","1.5091665927915068","0"
"1777","0.0336519435336","0","0.05602208936026","-0.055730111153379995","0","0","0.0677027094","1.5198609717973028","0"
"1778","0.0339114735288","0","0.05645409678162","-0.056162118574739996","0","0","0.0677027094","1.5283694927829632","0"
"1779","0.0341711249544","0","0.0568863064023","-0.05659432819542","0","0","0.0677027094","1.5368819955009387","0"
"1780","0.034483119602400004","0","0.0574056452384","-0.057113667031519995","0","0","0.0677027094","1.5471105359030173","0"
"1781","0.0347641455168","0","0.05787343431672","-0.057581456109839994","0","0","0.0677027094","1.5563237870899227","0"
"1782","0.035013474048","0","0.05828846065048","-0.0579964824436","0","0","0.0677027094","1.5644978601503938","0"
"1783","0.035288184792","0","0.058745737593279994","-0.05845375938639999","0","0","0.0677027094","1.5735040719374638","0"
"1784","0.035572368300000004","0","0.05921878270368","-0.058926804496799996","0","0","0.0677027094","1.582820842900597","0"
"1785","0.0358882492248","0","0.05974459056102","-0.05945261235414","0","0","0.0677027094","1.5931767921025424","0"
"1786","0.0361515440328","0","0.06018286484002","-0.059890886633139996","0","0","0.0677027094","1.6018087405378925","0"
"1787","0.03646487458319999","0","0.06070442737954001","-0.060412449172660004","0","0","0.0677027094","1.6120810777729855","0"
"1788","0.036636720590400004","0","0.060990478185900004","-0.06069849997902","0","0","0.0677027094","1.6177149371186308","0"
"1789","0.037089713976","0","0.061744520167379996","-0.06145254196049999","0","0","0.0677027094","1.6325660291815802","0"
"1790","0.037415432006400004","0","0.06228722380914","-0.06182908028562","0","0","0.0737181069","1.680259819615051","0"
"1791","0.037745764996800005","0","0.06283708823266","-0.062378944709139995","0","0","0.0737181069","1.6910895704030087","0"
"1792","0.0380875138896","0","0.06340595531950001","-0.06294781179598001","0","0","0.0737181069","1.7022935847334337","0"
"1793","0.038425133628","0","0.06396794909072001","-0.06350980556720001","0","0","0.0737181069","1.7133622271077498","0"
"1794","0.0387328776576","0","0.0644802124475","-0.06402206892398","0","0","0.0737181069","1.7234514140117836","0"
"1795","0.0366787408848","0","0.061060945304559994","-0.060602801781039994","0","0","0.0737181069","1.6561078826593865","0"
"1796","0.0361436500488","0","0.060170245824759994","-0.059712102301239994","0","0","0.0737181069","1.6385652789556506","0"
"1797","0.0356446286448","0","0.05933958669695999","-0.05888144317343999","0","0","0.0737181069","1.6222051885979072","0"
"1798","0.03590415864","0","0.059771594154419995","-0.059313450630899996","0","0","0.0737181069","1.6307137095947368","0"
"1799","0.036187977823200004","0","0.060244032807479996","-0.059785889283959996","0","0","0.0737181069","1.6400185360231139","0"
"1800","0.036429048028799996","0","0.060645312512460005","-0.060187168988940005","0","0","0.0737181069","1.647921865198968","0"
"1801","0.036708495146400004","0","0.06111047355614","-0.06065233003262","0","0","0.0737181069","1.6570833565824696","0"
"1802","0.0369858776952","0","0.06157219794288","-0.06111405441936","0","0","0.0737181069","1.6661771620467376","0"
"1803","0.0372944718552","0","0.06208587641578","-0.06162773289226","0","0","0.0737181069","1.676294219690662","0"
"1804","0.038609731473599994","0","0.06427522623250001","-0.06381708270898001","0","0","0.0737181069","1.7194141466492985","0"
"1805","0.039971261988","0","0.06654159752272","-0.0660834539992","0","0","0.0737181069","1.764051035013926","0"
"1806","0.0413808851064","0","0.06888802261903999","-0.06842987909552","0","0","0.0737181069","1.8102646077102225","0"
"1807","0.0417379361952","0","0.06948236135527999","-0.06902421783175999","0","0","0.0737181069","1.8219702942205718","0"
"1808","0.04322212712160001","0","0.07195291020420001","-0.07149476668068001","0","0","0.0737181069","1.8706285238545604","0"
"1809","0.043543958892","0","0.07248862370482","-0.0720304801813","0","0","0.0737181069","1.881179567798681","0"
"1810","0.0438962735904","0","0.07307507837224","-0.07261693484872","0","0","0.0737181069","1.8927299748642075","0"
"1811","0.044248588288799996","0","0.07366153300576","-0.07320338948224","0","0","0.0737181069","1.904280381941271","0"
"1812","0.0445972596048","0","0.07424192298206002","-0.07378377945854002","0","0","0.0737181069","1.9157113431661508","0"
"1813","0.042086486064","0","0.07006254916752","-0.069604405644","0","0","0.0737181069","1.8333972738870836","0"
"1814","0.0399846210456","0","0.0665638346805","-0.06610569115698","0","0","0.0737181069","1.7644890028609532","0"
"1815","0.041149530576","0","0.06850291534462","-0.0680447718211","0","0","0.0737181069","1.8026798005180424","0"
"1816","0.0423292565136","0","0.07046665906999999","-0.07000851554648","0","0","0.0737181069","1.8413563444362469","0"
"1817","0.0430555032936","0","0.07167555215760002","-0.07121740863408002","0","0","0.0737181069","1.8651658701645026","0"
"1818","0.044350359984","0","0.07383093976422","-0.0733727962407","0","0","0.0737181069","1.9076169006773112","0"
"1819","0.0459409375656","0","0.076478577344","-0.07602043382048","0","0","0.0737181069","1.9597629471977818","0"
"1820","0.046215526862400005","0","0.07693565212064","-0.07647750859712","0","0","0.0737181069","1.9687651775612929","0"
"1821","0.0463741352592","0","0.07719966790138","-0.07674152437786","0","0","0.0737181069","1.973965050618279","0"
"1822","0.0465904305048","0","0.07755970778726","-0.07710156426374","0","0","0.0737181069","1.9810561484042712","0"
"1823","0.0469276859016","0","0.0781210950994","-0.07766295157588","0","0","0.0737181069","1.9921128462494622","0"
"1824","0.0468584617032","0","0.07800586616688","-0.07754772264336","0","0","0.0737181069","1.9898433764192527","0"
"1825","0.0470582402808","0","0.07833841282716002","-0.07788026930364002","0","0","0.0737181069","1.996392986756673","0"
"1826","0.0471080331288","0","0.07842129679576","-0.07796315327224","0","0","0.0737181069","1.9980254123045031","0"
"1827","0.0475304221392","0","0.07912439547828001","-0.07866625195476001","0","0","0.0737181069","2.011873159833657","0"
"1828","0.047881522365600004","0","0.0797088285705","-0.07925068504698","0","0","0.0737181069","2.023383751630168","0"
"1829","0.0483781148592","0","0.08053544458228001","-0.08007730105876001","0","0","0.0737181069","2.039664211608406","0"
"1830","0.04866521306639999","0","0.08101334146784002","-0.08055519794432002","0","0","0.0737181069","2.049076539218759","0"
"1831","0.048865113108000006","0","0.08134609029282001","-0.08088794676930001","0","0","0.0737181069","2.0556301310977467","0"
"1832","0.049005626073600005","0","0.0815799848149","-0.08112184129138","0","0","0.0737181069","2.060236756565664","0"
"1833","0.0492183993672","0","0.08193416217178","-0.08147601864826","0","0","0.0737181069","2.0672123905893307","0"
"1834","0.0494332372464","0","0.08229177622344001","-0.08183363269992001","0","0","0.0737181069","2.074255709351977","0"
"1835","0.04967382168","0","0.08269224730502","-0.0822341037815","0","0","0.0737181069","2.082143112634368","0"
"1836","0.0498846518352","0","0.08304319016928001","-0.08258504664576001","0","0","0.0737181069","2.089055042487024","0"
"1837","0.050154261847199996","0","0.08349197658418","-0.08303383306066","0","0","0.0737181069","2.0978940291632973","0"
"1838","0.050413306053600004","0","0.0839231753825","-0.08346503185898001","0","0","0.0737181069","2.1063866252635326","0"
"1839","0.0506304514128","0","0.08428463038486","-0.08382648686134","0","0","0.0737181069","2.113505593390987","0"
"1840","0.050871278723999984","0","0.08468744735872001","-0.08372084707120002","0","0","0.0961284114","2.2593012375489967","0"
"1841","0.05112631520640001","0","0.08511197504273998","-0.08414537475521999","0","0","0.0961284114","2.2676624418196787","0"
"1842","0.0512778797496","0","0.0853642657687","-0.08439766548118001","0","0","0.0961284114","2.272631386226821","0"
"1843","0.0514202144064","0","0.08560119261834","-0.08463459233082","0","0","0.0961284114","2.27729773440368","0"
"1844","0.0516873954912","0","0.08604593591757997","-0.08507933563005998","0","0","0.0961284114","2.286057091504456","0"
"1845","0.051931744737600004","0","0.08645267385569999","-0.08548607356818","0","0","0.0961284114","2.294067921787801","0"
"1846","0.052145125267200006","0","0.08680786200177999","-0.08584126171426","0","0","0.0961284114","2.301063463035302","0"
