时间,牧草2,风蚀,木材,渗滤径流,矿石
1748,37707.59999999999,307020.0255,0,367220.0305,0
1749,37707.59999999999,307008.066255,0,367205.72630499996,0
1750,37707.59999999999,306995.96625,0,367191.25375,0
1751,37707.59999999999,306983.67219,0,367176.54909,0
1752,37707.59999999999,306971.1310349999,0,367161.54888499994,0
1753,37707.59999999999,306958.289235,0,367146.18908499996,0
1754,37707.59999999999,306945.09375,0,367130.40624999994,0
1755,37707.59999999999,306931.491285,0,367114.13663499994,0
1756,37707.59999999999,306917.42828999995,0,367097.31619000004,0
1757,37707.59999999999,306902.851725,0,367079.88147499994,0
1758,37707.59999999999,306887.708295,0,367061.768745,0
1759,37707.59999999999,306871.94444999995,0,367042.91395,0
1760,37707.59999999999,306855.50740500004,0,367023.253955,0
1761,37707.59999999999,306838.34335499996,0,367002.724405,0
1762,37707.59999999999,306820.39926,0,366981.26185999997,0
1763,37707.59999999999,306801.62208,0,366958.80288000003,0
1764,37707.59999999999,306781.95801,0,366935.28310999996,0
1765,37707.59999999999,306761.35401,0,366910.63911,0
1766,37707.59999999999,306739.75704,0,366884.80744,0
1767,37707.59999999999,306717.113295,0,366857.72374499997,0
1768,37707.59999999999,306693.36999000004,0,366829.32489,0
1769,37707.59999999999,306668.473575,0,366799.54682499997,0
1770,37707.59999999999,306642.370755,0,366768.325805,0
1771,37707.59999999999,306615.00849000004,0,366735.59839,0
1772,37707.59999999999,306586.33323000005,0,366701.30052999995,0
1773,37707.59999999999,306556.29168,0,366665.36848,0
1774,37707.59999999999,306524.8308,0,366627.73880000005,0
1775,37707.59999999999,306491.89704,0,366588.34744,0
1776,37707.59999999999,306457.43736,0,366547.13096,0
1777,37707.59999999999,306421.41912,0,366504.05032000004,0
1778,37707.59999999999,306383.893575,0,366459.16682499996,0
1779,37707.59999999999,306344.932125,0,366412.56587500003,0
1780,37707.59999999999,306304.60719,0,366364.33409,0
1781,37707.59999999999,306262.990425,0,366314.55717499997,0
1782,37707.59999999999,306220.153485,0,366263.320835,0
1783,37707.59999999999,306176.16828000004,0,366210.71108,0
1784,37707.59999999999,306131.106975,0,366156.814225,0
1785,37707.59999999999,306085.04097000003,0,366101.71566999995,0
1786,37707.59999999999,306038.04243000003,0,366045.50173,0
1787,37707.59999999999,305990.183265,0,365988.258415,0
1788,37707.59999999999,305941.535385,0,365930.071735,0
1789,37707.59999999999,305892.17019000003,0,365871.02709000005,0
1790,56280,305842.15984499996,0,365811.21079499996,0
1791,56280,305791.57625999994,0,365750.70885999996,0
1792,56280,305740.491345,0,365689.607295,0
1793,56280,305688.976755,0,365627.991805,0
1794,56280,305637.104655,0,365565.948705,0
1795,56280,305584.946445,0,365503.563395,0
1796,56280,305532.57429,0,365440.92218999995,0
1797,56280,305480.05984500004,0,365378.110795,0
1798,56280,305427.47527500003,0,365315.215525,0
1799,56280,305374.89249000006,0,365252.32239000004,0
1800,56280,305322.38288999995,0,365189.51678999997,0
1801,56280,305270.01863999997,0,365126.88503999996,0
1802,56280,305217.871395,0,365064.512845,0
1803,56280,305166.01331999997,0,365002.48652,0
1804,56280,305114.51607,0,364940.89177,0
1805,56280,305063.451555,0,364879.81460499996,0
1806,56280,305012.88837,0,364819.33706999995,0
1807,56280,304962.882105,0,364759.525655,0
1808,56280,304913.48529000004,0,364700.44319,0
1809,56280,304864.74994500005,0,364642.15189499996,0
1810,56280,304816.7286,0,364584.7146,0
1811,56280,304769.473785,0,364528.194135,0
1812,56280,304723.03752000007,0,364472.65272,0
1813,56280,304677.472335,0,364418.153185,0
1814,56280,304632.83076,0,364364.7583599999,0
1815,56280,304589.164815,0,364312.5304649999,0
1816,56280,304546.52703,0,364261.53232999996,0
1817,56280,304504.96968000004,0,364211.82648,0
1818,56280,304464.545295,0,364163.47574499995,0
1819,56280,304425.30615,0,364116.5426499999,0
1820,56280,304387.30452,0,364071.08972,0
1821,56280,304350.59268,0,364027.17948,0
1822,56280,304315.22316,0,363984.87476,0
1823,56280,304281.24823499995,0,363944.238085,0
1824,56280,304248.720435,0,363905.332285,0
1825,56280,304217.692035,0,363868.219885,0
1826,56280,304188.215055,0,363832.963105,0
1827,56280,304160.34228,0,363799.62508,0
1828,56280,304134.12598500005,0,363768.26833500003,0
1829,56280,304109.61819,0,363738.95509,0
1830,56280,304086.87168,0,363711.74848,0
1831,56280,304065.93873,0,363686.71102999995,0
1832,56280,304046.87136,0,363663.90496,0
1833,56280,304029.72235500003,0,363643.39340500004,0
1834,56280,304014.543735,0,363625.23858500004,0
1835,56280,304001.36329500005,0,363609.473745,0
1836,56280,303990.10861500003,0,363596.012265,0
1837,56280,303980.68279500003,0,363584.73824499996,0
1838,56280,303972.988935,0,363575.535785,0
1839,56280,303966.92988,0,363568.28868,0
1840,76540.79999999999,303962.40872999997,0,363562.88103000005,0
1841,76540.79999999999,303959.32833,0,363559.19663,0
1842,76540.79999999999,303957.592035,0,363557.119885,0
1843,76540.79999999999,303957.10243499995,0,363556.534285,0
1844,76540.79999999999,303957.76263000007,0,363557.32393,0
1845,76540.79999999999,303959.475975,0,363559.373225,0
1846,76540.79999999999,303962.14480500005,0,363562.565355,0
1847,76540.79999999999,303965.67273,0,363566.78503,0
1848,76540.79999999999,303969.96233999997,0,363571.91574,0
1849,76540.79999999999,303974.91699000006,0,363577.84189,0
1850,76540.79999999999,303980.43927,0,363584.44697,0
1851,76540.79999999999,303986.432535,0,363591.615385,0
1852,76540.79999999999,303992.79962999996,0,363599.23092999996,0
1853,76540.79999999999,303999.443655,0,363607.177705,0
1854,76540.79999999999,304006.2672,0,363615.3392,0
1855,76540.79999999999,304013.173875,0,363623.6001249999,0
1856,76540.79999999999,304020.06627,0,363631.84397000005,0
1857,76540.79999999999,304026.84722999996,0,363639.95453,0
1858,76540.79999999999,304033.420365,0,363647.8165150001,0
1859,76540.79999999999,304039.68826500006,0,363655.31341500004,0
1860,76540.79999999999,304045.55377500004,0,363662.32902500004,0
1861,76540.79999999999,304050.9202499999,0,363668.74775,0
1862,76540.79999999999,304055.690535,0,363674.453385,0
1863,76540.79999999999,304059.767475,0,363679.329725,0
1864,76540.79999999999,304063.05366,0,363683.26025999995,0
1865,76540.79999999999,304065.44964,0,363686.12604000006,0
1866,76540.79999999999,304066.85494499997,0,363687.80689500005,0
1867,76540.79999999999,304067.16936000006,0,363688.18296,0
1868,76540.79999999999,304066.29267000005,0,363687.13437000004,0
1869,76540.79999999999,304064.12466000003,0,363684.54126,0
1870,76540.79999999999,304060.56537,0,363680.28407,0
1871,76540.79999999999,304055.51433,0,363674.24262999994,0
1872,76540.79999999999,304048.87158000004,0,363666.29738,0
1873,76540.79999999999,304040.53664999997,0,363656.32814999996,0
1874,76540.79999999999,304030.409325,0,363644.21507499996,0
1875,76540.79999999999,304018.389645,0,363629.838595,0
1876,76540.79999999999,304004.37714,0,363613.07853999996,0
1877,76540.79999999999,303988.271595,0,363593.81504500005,0
1878,76540.79999999999,303969.97305,0,363571.92855,0
1879,76540.79999999999,303949.38129000005,0,363547.29919000005,0
